"","n","sigma","alpha","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR"
"1",100,0.1,0,500.5,"  4.6","34.2","  4.0","  4.0","  6.0","  8.6","  5.1"," 4.9","  4.5"," 0.0"
"2",100,0.1,0.5,1500.5," 66.1","34.9"," 65.2"," 63.0"," 61.9"," 74.6"," 70.4","76.2"," 77.5"," 1.4"
"3",100,0.1,1,2500.5," 34.9","34.9"," 33.9"," 33.5"," 55.3"," 64.5"," 41.1","11.0"," 14.0"," 0.0"
"4",100,0.1,1.5,3500.5,"100.0","39.7","100.0","100.0","100.0","100.0","100.0","83.0"," 98.6"," 3.3"
"5",200,0.1,0,4500.5,"  5.7","33.2","  5.5","  5.6","  9.7","  9.2","  5.2"," 5.7","  5.4"," 0.4"
"6",200,0.1,0.5,5500.5," 94.4","35.7"," 94.1"," 94.4"," 93.3"," 96.5"," 96.3","98.1"," 98.2"," 1.6"
"7",200,0.1,1,6500.5," 66.1","35.9"," 65.1"," 64.3"," 87.0"," 92.9"," 71.8","23.1"," 25.6"," 0.0"
"8",200,0.1,1.5,7500.5,"100.0","39.0","100.0","100.0","100.0","100.0","100.0","98.5","100.0","13.7"
