"","n","sigma","alpha","X","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR"
"1",100,0.1,0,5000.5,"  5.0","36.2","  4.7"," 7.1","  8.0","  6.9"," 6.7"," 3.5"," 5.0","51.8"
"2",100,0.1,0.5,15000.5," 53.7","34.8"," 52.6","27.0"," 29.9"," 36.0","32.6","66.2","70.2","56.4"
"3",100,0.1,1,25000.5," 19.0","35.0"," 18.2","11.7"," 16.8"," 26.1","13.1"," 6.2"," 8.8","63.8"
"4",100,0.1,1.5,35000.5,"100.0","37.1","100.0","87.9"," 99.1"," 98.3","92.5","86.8","92.0","57.7"
"5",200,0.1,0,45000.5,"  5.3","36.4","  5.1"," 7.3","  9.4","  8.5"," 7.6"," 4.2"," 5.4","43.0"
"6",200,0.1,0.5,55000.5," 86.5","35.6"," 86.2","46.9"," 52.3"," 58.2","54.5","95.2","95.8","53.5"
"7",200,0.1,1,65000.5," 40.5","36.3"," 39.9","23.0"," 46.1"," 64.5","29.2","11.3","14.9","63.2"
"8",200,0.1,1.5,75000.5,"100.0","39.4","100.0","98.6","100.0","100.0","99.5","97.8","99.6","52.7"
