"","case","iteration","DD","PN","HP","PS1","PS1q","PS2","PS2q","PS3","WF","LR"
"1",1,1,0.330399565191849,0.138931650615951,0.330820743208928,0.00898042401339405,1.41067912906578e-09,0.196936575345837,0.357632488819893,0.107897025816683,0.134534719899912,1
"2",1,2,0.408819884211762,0.906180446659754,0.408432331670181,0.012000875718565,1.35399136347303e-10,0.119136044475165,0.943844840704711,0.310052748981043,0.0755833912169176,0.0165999999999999
"3",1,3,0.0143784505815048,0.628204157745541,0.0165350553372994,0.0068163573442801,0,0.0281233709333973,0.517398032494319,0.992974318672723,0.435932415561423,0.0598
"4",1,4,0.315217028222404,0.972866597414601,0.315813593712033,0.0458052403666149,1.77635683940025e-14,0.44054816218813,0.792408197307988,0.315544786023743,0.775559322726271,0.0107
"5",1,5,0.140947133487971,0.106312382578887,0.143715845819687,0.142958494437854,0.0299224615861535,0.128206626285326,0.146540391920071,0.965418928716307,0.737731373367268,1
"6",1,6,0.880769717869358,0.0021796104685047,0.879754785552346,0.00355112025309046,6.60025683241194e-06,0.804202378345659,0.439206196369283,0.3545029199653,0.41117877032936,1
"7",1,7,0.00328403287617296,0.736465556920947,0.00430785000452423,0.101438586699508,4.84466378125603e-09,0.324924910944326,0.20124061372438,0.352557729015991,0.276163614546303,1
"8",1,8,0.00919225752687858,0.817009773882969,0.010952961300614,0.00128629214275455,0.00158570620516763,0.0128431844577267,0.0331567346873858,0.271146928910645,0.218353904714352,1
"9",1,9,0.0734245603938103,0.00769258123140077,0.0766731770727846,0.069742923271189,0.00286521852229782,0.0190441556615146,0.055840083397029,0.334741621682369,0.996571619301276,1
"10",1,10,0.0116056145862558,0.567633536957144,0.0135686357699417,0.0272339267653146,1.17683640610267e-14,0.0197461823882922,0.0216556668516378,0.544546588379746,0.00866705217783603,0.0115
"11",1,11,0.581417695234682,0.149858161413808,0.579928122061079,0.71458541815077,4.78062034403592e-13,0.349980781373527,0.506389483264193,0.504184900932827,0.203187598887544,0.00800000000000001
"12",1,12,0.949048004635451,0.000340705669354307,0.948558446387261,0.960296290947972,5.40531242703146e-05,0.490058773618772,0.939224211256379,0.265248070634925,0.574930326445853,1
"13",1,13,0.690901440341976,0.307287663556784,0.689234015318321,0.814208686047447,0,0.760232755902799,0.547022256190172,0.878793618438141,0.347238415129483,0.00860000000000005
"14",1,14,0.0100289316948579,0.360169321887718,0.0118640144028703,0.102613854855336,2.14028794687238e-12,0.0433332958347565,0.88198213613445,0.377112828611568,0.214075226529907,0.00629999999999997
"15",1,15,0.155936845921937,0.788885002042158,0.158535055108732,0.102237301673044,0.0193840306351234,0.648170498467741,0.338462905748715,0.053346558518631,0.824488450116976,1
"16",1,16,0.000340953334371008,0.103747503974148,0.000592151431582698,0.0248840562327102,0,0.000937046928223495,0.00542220700576856,0.109488739082965,0.745175552174782,0.0174
"17",1,17,0.25664436577975,0.00703628008663893,0.257961566227637,0.00177720018076843,4.52590187549617e-11,0.278741348829713,0.501339290210162,0.290408701330779,0.0776104325481017,0.0167
"18",1,18,0.401275697941751,0.456946080164132,0.400958253130482,0.476018114004787,5.19584375524573e-14,0.297962711112652,0.393698958551475,0.645772296620886,0.867711861589437,1
"19",1,19,0.00677786679754799,0.0355021569087893,0.00829187783401932,0.000703335324415244,2.23903118268254e-11,0.00902812569417555,0.0146960265618363,0.548656675689171,0.0475239677241277,0.0142
"20",1,20,0.000375491652537696,0.781058724750706,0.000643165261150622,1.62554295124462e-06,0,0.000388032316870457,0.0888832491904042,0.518354697457428,0.564465661725507,1
"21",1,21,0.375503357306505,0.464143334334216,0.375438205450004,0.48463632332578,1.15126668198684e-08,0.398798241636332,0.269349308894305,0.388341184226814,0.393893358116668,1
"22",1,22,0.295960427561786,0.996630590635536,0.296786895243667,0.720251219673083,0,0.0529705667325736,0.179002016058383,0.677413963447848,0.50319189303431,1
"23",1,23,0.061036923895749,0.32245633402551,0.0642687837818395,0.0102578269092412,1.03669220097302e-07,0.0659032032733953,0.392213201471678,0.344062626154037,0.00579162617923068,1
"24",1,24,0.0105240574611896,0.419872715167561,0.0124009362590354,0.0199402039436762,6.98562589995788e-08,0.831319050184694,0.00282061231954245,0.709932079520014,0.179877000345654,1
"25",1,25,0.000737027636009691,0.0838564638500873,0.00115129540501696,1.11910480882216e-12,7.31747995530441e-13,1.25144269422783e-05,1.99125271826972e-10,0.170669377271539,0.0160252112572101,1
"26",1,26,0.00372612198638878,0.00272409727226582,0.00482527010256095,0.000508848481472035,0,0.0157338085631931,0.000206103399057245,0.151866994910255,0.0504985737059964,0.0081
