"","expr","time"
"225","UPbrewer",26217702
"226","UPbrewer",21471701
"227","UPbrewer",32024600
"228","UPtille",872003802
"229","UPsampford_edited",204536102
"230","UPsampford_edited",207147801
"231","UPtille",877644301
"232","UPsampford_edited",215094801
"233","UPmidzuno",72854801
"234","UPsampford_edited",259879401
"235","UPsampford_edited",204606902
"236","UPtille",954734601
"237","UPsampford_edited",199937601
"238","UPtille",836206801
"239","UPtille",806265201
"240","UPtille",776326301
"241","UPtille",814408202
"242","UPsampford_edited",167055500
"243","UPmidzuno",115224002
"244","UPmidzuno",62544100
"245","UPtille",977892600
"246","UPmidzuno",64058101
"247","UPtille",761487201
"248","UPbrewer",25476602
"249","UPbrewer",22380101
"250","UPbrewer",73981401
"251","UPtille",819423701
"252","UPtille",802961701
"253","UPtille",818533601
"254","UPsampford_edited",202061402
"255","UPmidzuno",65219401
"256","UPbrewer",26935700
"257","UPmidzuno",225845801
"258","UPbrewer",18573101
"259","UPsampford_edited",204724201
"260","UPbrewer",41877301
"261","UPmidzuno",70054301
"262","UPtille",811809701
"263","UPbrewer",28895401
"264","UPmidzuno",62865401
"265","UPbrewer",19327601
"266","UPmidzuno",92637101
"267","UPbrewer",27246501
"268","UPtille",791897901
"269","UPtille",812235201
"270","UPmidzuno",65993600
"271","UPmidzuno",66789901
"272","UPsampford_edited",205545501
"273","UPsampford_edited",225357802
"274","UPsampford_edited",74338201
"275","UPmidzuno",62864401
"276","UPtille",812272501
"277","UPtille",964492601
"278","UPsampford_edited",212831301
"279","UPtille",824073600
"280","UPtille",787979902
"281","UPbrewer",18008401
"282","UPmidzuno",64019701
"283","UPbrewer",26851501
"284","UPtille",812831101
"285","UPtille",823162302
"286","UPtille",955226502
"287","UPmidzuno",60786701
"288","UPmidzuno",69458602
"289","UPbrewer",19013901
"290","UPtille",790406501
"291","UPmidzuno",82215201
"292","UPtille",791684801
"293","UPsampford_edited",74391201
"294","UPbrewer",18070201
"295","UPtille",798503902
"296","UPtille",767675201
"297","UPmidzuno",66442202
"298","UPsampford_edited",227619200
"299","UPtille",942111601
"300","UPtille",783863401
"301","UPbrewer",18398102
"302","UPsampford_edited",202713701
"303","UPbrewer",26924601
"304","UPbrewer",20454801
"305","UPbrewer",59276402
"306","UPbrewer",30933002
"307","UPbrewer",33967801
"308","UPtille",799759202
"309","UPsampford_edited",232434600
"310","UPmidzuno",65042901
"311","UPmidzuno",62983501
"312","UPmidzuno",63589201
"313","UPtille",825620701
"314","UPbrewer",18230100
"315","UPmidzuno",66099901
"316","UPbrewer",27511102
"317","UPsampford_edited",205335001
"318","UPtille",989224501
"319","UPmidzuno",68560400
"320","UPtille",792437602
"321","UPmidzuno",60346701
"322","UPmidzuno",64114302
"323","UPtille",790544801
"324","UPbrewer",25882401
"325","UPsampford_edited",204803302
"326","UPmidzuno",67667801
"327","UPmidzuno",65413201
"328","UPtille",786309900
"329","UPmidzuno",63629701
"330","UPsampford_edited",209370901
"331","UPsampford_edited",199804801
"332","UPtille",799963401
"333","UPbrewer",17886101
"334","UPsampford_edited",136448801
"335","UPtille",951814801
"336","UPbrewer",30295200
"337","UPtille",786200301
"338","UPsampford_edited",204125401
"339","UPbrewer",18171700
"340","UPmidzuno",64548102
"341","UPtille",824881401
"342","UPmidzuno",71590901
"343","UPmidzuno",63576501
"344","UPmidzuno",64354501
"345","UPbrewer",18709501
"346","UPtille",817884401
"347","UPbrewer",26962701
"348","UPtille",834025401
"349","UPsampford_edited",207925602
"350","UPmidzuno",228511901
"351","UPbrewer",24190501
"352","UPsampford_edited",208544400
"353","UPsampford_edited",226157901
"354","UPsampford_edited",191458800
"355","UPsampford_edited",202522601
"356","UPmidzuno",60224402
"357","UPmidzuno",60466601
"358","UPbrewer",19790401
"359","UPsampford_edited",176935401
"360","UPmidzuno",63339200
"361","UPtille",780158000
"362","UPsampford_edited",210120601
"363","UPsampford_edited",202187801
"364","UPtille",842257800
"365","UPtille",797103600
"366","UPmidzuno",64900501
"367","UPsampford_edited",210802500
"368","UPtille",790221600
"369","UPsampford_edited",203997900
"370","UPbrewer",28508202
"371","UPbrewer",19566801
"372","UPbrewer",32466701
"373","UPbrewer",17566301
"374","UPtille",990408500
"375","UPtille",786850700
"376","UPtille",794922101
"377","UPtille",794601002
"378","UPtille",769769502
"379","UPsampford_edited",226564801
"380","UPbrewer",19474901
"381","UPtille",1003638001
"382","UPbrewer",18454401
"383","UPtille",769474501
"384","UPtille",806002701
"385","UPmidzuno",65725800
"386","UPmidzuno",59753001
"387","UPbrewer",25549201
"388","UPtille",817313101
"389","UPtille",789316101
"390","UPmidzuno",66130701
"391","UPmidzuno",70503000
"392","UPsampford_edited",205923301
"393","UPmidzuno",63364000
"394","UPtille",980736802
"395","UPsampford_edited",203562201
"396","UPbrewer",18076700
"397","UPmidzuno",66049201
"398","UPmidzuno",63928401
"399","UPtille",862808501
"400","UPtille",828824101
"401","UPsampford_edited",203056201
"402","UPsampford_edited",221253001
"403","UPmidzuno",68530002
"404","UPmidzuno",63784100
"405","UPbrewer",19570201
"406","UPmidzuno",75574501
"407","UPsampford_edited",214347400
"408","UPsampford_edited",203978501
"409","UPbrewer",18571801
"410","UPsampford_edited",209723701
"411","UPtille",829256001
"412","UPmidzuno",72828902
"413","UPsampford_edited",202413901
"414","UPbrewer",17578801
"415","UPbrewer",36217001
"416","UPmidzuno",88089601
"417","UPbrewer",18171902
"418","UPmidzuno",67009801
"419","UPtille",969725502
"420","UPsampford_edited",204171402
"421","UPbrewer",27103201
"422","UPsampford_edited",208106601
"423","UPbrewer",31466400
"424","UPsampford_edited",154837501
"425","UPsampford_edited",203846901
"426","UPsampford_edited",233789301
"427","UPtille",798033802
"428","UPbrewer",26705101
"429","UPmidzuno",65081901
"430","UPmidzuno",87465701
"431","UPbrewer",26922801
"432","UPsampford_edited",90429901
"433","UPmidzuno",63830401
"434","UPmidzuno",66868601
"435","UPmidzuno",79735801
"436","UPmidzuno",64574601
"437","UPtille",818850802
"438","UPmidzuno",66937301
"439","UPtille",815769600
